,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Family_size
0,892,3,male,34.5,0,0,7.8292,0
1,893,3,female,47.0,1,0,7.0,1
2,894,2,male,62.0,0,0,9.6875,0
3,895,3,male,27.0,0,0,8.6625,0
4,896,3,female,22.0,1,1,12.2875,2
5,897,3,male,14.0,0,0,9.225,0
6,898,3,female,30.0,0,0,7.6292,0
7,899,2,male,26.0,1,1,29.0,2
8,900,3,female,18.0,0,0,7.2292,0
9,901,3,male,21.0,2,0,24.15,2
10,902,3,male,27.0,0,0,7.8958,0
11,903,1,male,46.0,0,0,26.0,0
12,904,1,female,23.0,1,0,82.2667,1
13,905,2,male,63.0,1,0,26.0,1
14,906,1,female,47.0,1,0,61.175,1
15,907,2,female,24.0,1,0,27.7208,1
16,908,2,male,35.0,0,0,12.35,0
17,909,3,male,21.0,0,0,7.225,0
18,910,3,female,27.0,1,0,7.925,1
19,911,3,female,45.0,0,0,7.225,0
20,912,1,male,55.0,1,0,59.4,1
21,913,3,male,9.0,0,1,3.1708,1
22,914,1,female,27.0,0,0,31.6833,0
23,915,1,male,21.0,0,1,61.3792,1
24,916,1,female,48.0,1,3,262.375,4
25,917,3,male,50.0,1,0,14.5,1
26,918,1,female,22.0,0,1,61.9792,1
27,919,3,male,22.5,0,0,7.225,0
28,920,1,male,41.0,0,0,30.5,0
29,921,3,male,27.0,2,0,21.6792,2
30,922,2,male,50.0,1,0,26.0,1
31,923,2,male,24.0,2,0,31.5,2
32,924,3,female,33.0,1,2,20.575,3
33,925,3,female,27.0,1,2,23.45,3
34,926,1,male,30.0,1,0,57.75,1
35,927,3,male,18.5,0,0,7.2292,0
36,928,3,female,27.0,0,0,8.05,0
37,929,3,female,21.0,0,0,8.6625,0
38,930,3,male,25.0,0,0,9.5,0
39,931,3,male,27.0,0,0,56.4958,0
40,932,3,male,39.0,0,1,13.4167,1
41,933,1,male,27.0,0,0,26.55,0
42,934,3,male,41.0,0,0,7.85,0
43,935,2,female,30.0,0,0,13.0,0
44,936,1,female,45.0,1,0,52.5542,1
45,937,3,male,25.0,0,0,7.925,0
46,938,1,male,45.0,0,0,29.7,0
47,939,3,male,27.0,0,0,7.75,0
48,940,1,female,60.0,0,0,76.2917,0
49,941,3,female,36.0,0,2,15.9,2
50,942,1,male,24.0,1,0,60.0,1
51,943,2,male,27.0,0,0,15.0333,0
52,944,2,female,20.0,2,1,23.0,3
53,945,1,female,28.0,3,2,263.0,5
54,946,2,male,27.0,0,0,15.5792,0
55,947,3,male,10.0,4,1,29.125,5
56,948,3,male,35.0,0,0,7.8958,0
57,949,3,male,25.0,0,0,7.65,0
58,950,3,male,27.0,1,0,16.1,1
59,951,1,female,36.0,0,0,262.375,0
60,952,3,male,17.0,0,0,7.8958,0
61,953,2,male,32.0,0,0,13.5,0
62,954,3,male,18.0,0,0,7.75,0
63,955,3,female,22.0,0,0,7.725,0
64,956,1,male,13.0,2,2,262.375,4
65,957,2,female,27.0,0,0,21.0,0
66,958,3,female,18.0,0,0,7.8792,0
67,959,1,male,47.0,0,0,42.4,0
68,960,1,male,31.0,0,0,28.5375,0
69,961,1,female,60.0,1,4,263.0,5
70,962,3,female,24.0,0,0,7.75,0
71,963,3,male,21.0,0,0,7.8958,0
72,964,3,female,29.0,0,0,7.925,0
73,965,1,male,28.5,0,0,27.7208,0
74,966,1,female,35.0,0,0,211.5,0
75,967,1,male,32.5,0,0,211.5,0
76,968,3,male,27.0,0,0,8.05,0
77,969,1,female,55.0,2,0,25.7,2
78,970,2,male,30.0,0,0,13.0,0
79,971,3,female,24.0,0,0,7.75,0
80,972,3,male,6.0,1,1,15.2458,2
81,973,1,male,67.0,1,0,221.7792,1
82,974,1,male,49.0,0,0,26.0,0
83,975,3,male,27.0,0,0,7.8958,0
84,976,2,male,27.0,0,0,10.7083,0
85,977,3,male,27.0,1,0,14.4542,1
86,978,3,female,27.0,0,0,7.8792,0
87,979,3,female,18.0,0,0,8.05,0
88,980,3,female,27.0,0,0,7.75,0
89,981,2,male,2.0,1,1,23.0,2
90,982,3,female,22.0,1,0,13.9,1
91,983,3,male,27.0,0,0,7.775,0
92,984,1,female,27.0,1,2,52.0,3
93,985,3,male,27.0,0,0,8.05,0
94,986,1,male,25.0,0,0,26.0,0
95,987,3,male,25.0,0,0,7.7958,0
96,988,1,female,76.0,1,0,78.85,1
97,989,3,male,29.0,0,0,7.925,0
98,990,3,female,20.0,0,0,7.8542,0
99,991,3,male,33.0,0,0,8.05,0
100,992,1,female,43.0,1,0,55.4417,1
101,993,2,male,27.0,1,0,26.0,1
102,994,3,male,27.0,0,0,7.75,0
103,995,3,male,26.0,0,0,7.775,0
104,996,3,female,16.0,1,1,8.5167,2
105,997,3,male,28.0,0,0,22.525,0
106,998,3,male,21.0,0,0,7.8208,0
107,999,3,male,27.0,0,0,7.75,0
108,1000,3,male,27.0,0,0,8.7125,0
109,1001,2,male,18.5,0,0,13.0,0
110,1002,2,male,41.0,0,0,15.0458,0
111,1003,3,female,27.0,0,0,7.7792,0
112,1004,1,female,36.0,0,0,31.6792,0
113,1005,3,female,18.5,0,0,7.2833,0
114,1006,1,female,63.0,1,0,221.7792,1
115,1007,3,male,18.0,1,0,14.4542,1
116,1008,3,male,27.0,0,0,6.4375,0
117,1009,3,female,1.0,1,1,16.7,2
118,1010,1,male,36.0,0,0,75.2417,0
119,1011,2,female,29.0,1,0,26.0,1
120,1012,2,female,12.0,0,0,15.75,0
121,1013,3,male,27.0,1,0,7.75,1
122,1014,1,female,35.0,1,0,57.75,1
123,1015,3,male,28.0,0,0,7.25,0
124,1016,3,male,27.0,0,0,7.75,0
125,1017,3,female,17.0,0,1,16.1,1
126,1018,3,male,22.0,0,0,7.7958,0
